TransactionID	CardID	 TransactionAmount 	 TransactionRevenue 	TransactionDate	SettlementDate	AssignedFeePercentage
4002	1119.00	 17 306.00 	 185.19 Kè 	02.03.2023	2023-03-04	1.07%
4003	1058.00	 8 936.00 	 98.51 Kè 	06.03.2023	2023-03-10	1.10%
4004	1066.00	 75 316.00 	 1 264.40 Kè 	06.03.2023	2023-03-09	1.68%
4005	1148.00	 87 899.00 	 1 678.64 Kè 	27.03.2023	2023-03-30	1.91%
4006	1194.00	 74 930.00 	 1 105.63 Kè 	07.03.2023	2023-03-11	1.48%
4007	1196.00	 60 046.00 	 1 068.78 Kè 	14.03.2023	2023-03-16	1.78%
4008	1155.00	 95 541.00 	 1 192.54 Kè 	08.03.2023	2023-03-11	1.25%
4009	1138.00	 12 122.00 	 241.70 Kè 	26.03.2023	2023-03-29	1.99%
4010	1079.00	 33 533.00 	 655.27 Kè 	18.03.2023	2023-03-20	1.95%
4011	1010.00	 34 394.00 	 514.76 Kè 	25.03.2023	2023-03-28	1.50%
4012	1098.00	 57 553.00 	 618.98 Kè 	12.03.2023	2023-03-16	1.08%
4013	1048.00	 38 165.00 	 511.85 Kè 	25.03.2023	2023-03-28	1.34%
4014	1145.00	 29 297.00 	 417.96 Kè 	08.03.2023	2023-03-09	1.43%
4015	1059.00	 79 391.00 	 1 379.40 Kè 	26.03.2023	2023-03-29	1.74%
4016	1162.00	 43 376.00 	 744.56 Kè 	15.03.2023	2023-03-16	1.72%
4017	1179.00	 63 168.00 	 1 187.76 Kè 	12.03.2023	2023-03-15	1.88%
4018	1072.00	 68 972.00 	 1 015.20 Kè 	11.03.2023	2023-03-14	1.47%
4019	1022.00	 48 802.00 	 664.21 Kè 	21.03.2023	2023-03-25	1.36%
4020	1105.00	 88 223.00 	 1 530.43 Kè 	05.03.2023	2023-03-07	1.73%
4021	1069.00	 83 383.00 	 1 528.20 Kè 	26.03.2023	2023-03-27	1.83%
4022	1078.00	 72 176.00 	 833.52 Kè 	23.03.2023	2023-03-27	1.15%
4023	1065.00	 38 104.00 	 594.05 Kè 	02.03.2023	2023-03-05	1.56%
4024	1136.00	 70 350.00 	 1 104.82 Kè 	15.03.2023	2023-03-18	1.57%
4025	1177.00	 29 526.00 	 568.37 Kè 	13.03.2023	2023-03-14	1.92%
4026	1012.00	 78 471.00 	 1 447.77 Kè 	28.03.2023	2023-03-29	1.84%
4027	1096.00	 97 935.00 	 990.12 Kè 	03.03.2023	2023-03-05	1.01%
4028	1094.00	 40 750.00 	 763.72 Kè 	07.03.2023	2023-03-10	1.87%
4029	1132.00	 5 850.00 	 81.06 Kè 	08.03.2023	2023-03-12	1.39%
4030	1117.00	 59 039.00 	 1 173.77 Kè 	23.03.2023	2023-03-25	1.99%
4031	1049.00	 93 497.00 	 1 815.38 Kè 	05.03.2023	2023-03-06	1.94%
4032	1100.00	 37 624.00 	 414.73 Kè 	23.03.2023	2023-03-24	1.10%
4033	1131.00	 89 456.00 	 1 674.65 Kè 	22.03.2023	2023-03-26	1.87%
4034	1154.00	 35 474.00 	 511.20 Kè 	25.03.2023	2023-03-29	1.44%
4035	1109.00	 62 581.00 	 1 195.82 Kè 	20.03.2023	2023-03-23	1.91%
4036	1016.00	 46 365.00 	 558.49 Kè 	17.03.2023	2023-03-18	1.20%
4037	1120.00	 23 100.00 	 414.77 Kè 	19.03.2023	2023-03-21	1.80%
4038	1170.00	 66 797.00 	 705.51 Kè 	22.03.2023	2023-03-24	1.06%
4039	1018.00	 53 069.00 	 784.72 Kè 	04.03.2023	2023-03-07	1.48%
4040	1045.00	 3 212.00 	 47.96 Kè 	01.03.2023	2023-03-04	1.49%
4041	1183.00	 74 524.00 	 1 042.45 Kè 	02.03.2023	2023-03-05	1.40%
4042	1113.00	 57 337.00 	 663.96 Kè 	05.03.2023	2023-03-09	1.16%
4043	1046.00	 36 530.00 	 469.27 Kè 	18.03.2023	2023-03-19	1.28%
4044	1134.00	 85 312.00 	 992.47 Kè 	13.03.2023	2023-03-17	1.16%
4045	1073.00	 56 886.00 	 599.12 Kè 	23.03.2023	2023-03-24	1.05%
4046	1021.00	 6 912.00 	 126.82 Kè 	03.03.2023	2023-03-06	1.83%
4047	1135.00	 54 995.00 	 854.01 Kè 	11.03.2023	2023-03-14	1.55%
4048	1087.00	 42 355.00 	 524.39 Kè 	28.03.2023	2023-03-31	1.24%
4049	1014.00	 27 958.00 	 523.41 Kè 	15.03.2023	2023-03-16	1.87%
4050	1122.00	 9 980.00 	 179.65 Kè 	07.03.2023	2023-03-10	1.80%
4051	1199.00	 54 078.00 	 855.09 Kè 	28.03.2023	2023-03-29	1.58%
4052	1105.00	 9 655.00 	 168.92 Kè 	18.03.2023	2023-03-20	1.75%
4053	1052.00	 30 990.00 	 599.05 Kè 	23.03.2023	2023-03-27	1.93%
4054	1197.00	 68 751.00 	 1 241.08 Kè 	28.03.2023	2023-04-01	1.81%
4055	1144.00	 82 497.00 	 1 641.33 Kè 	14.03.2023	2023-03-16	1.99%
4056	1172.00	 94 282.00 	 943.64 Kè 	07.03.2023	2023-03-10	1.00%
4057	1171.00	 92 476.00 	 1 272.91 Kè 	27.03.2023	2023-03-30	1.38%
4058	1068.00	 15 606.00 	 160.32 Kè 	07.03.2023	2023-03-09	1.03%
4059	1033.00	 10 343.00 	 167.70 Kè 	05.03.2023	2023-03-08	1.62%
4060	1045.00	 24 368.00 	 254.46 Kè 	06.03.2023	2023-03-10	1.04%
4061	1031.00	 86 448.00 	 1 228.42 Kè 	22.03.2023	2023-03-24	1.42%
4062	1108.00	 98 776.00 	 1 902.68 Kè 	14.03.2023	2023-03-15	1.93%
4063	1105.00	 35 371.00 	 410.21 Kè 	12.03.2023	2023-03-15	1.16%
4064	1145.00	 30 122.00 	 328.52 Kè 	01.03.2023	2023-03-02	1.09%
4065	1057.00	 3 127.00 	 34.70 Kè 	28.03.2023	2023-03-29	1.11%
4066	1196.00	 17 740.00 	 281.13 Kè 	04.03.2023	2023-03-08	1.58%
4067	1190.00	 66 953.00 	 1 050.96 Kè 	21.03.2023	2023-03-22	1.57%
4068	1058.00	 76 429.00 	 1 260.22 Kè 	28.03.2023	2023-03-31	1.65%
4069	1129.00	 9 320.00 	 136.67 Kè 	17.03.2023	2023-03-19	1.47%
4070	1174.00	 57 121.00 	 1 074.43 Kè 	17.03.2023	2023-03-18	1.88%
4071	1034.00	 14 034.00 	 177.60 Kè 	19.03.2023	2023-03-21	1.27%
4072	1199.00	 30 392.00 	 539.85 Kè 	06.03.2023	2023-03-09	1.78%
4073	1125.00	 57 933.00 	 727.42 Kè 	15.03.2023	2023-03-17	1.26%
4074	1084.00	 79 818.00 	 1 242.40 Kè 	11.03.2023	2023-03-15	1.56%
4075	1091.00	 98 741.00 	 1 586.51 Kè 	13.03.2023	2023-03-14	1.61%
4076	1027.00	 26 712.00 	 455.67 Kè 	23.03.2023	2023-03-25	1.71%
4077	1181.00	 49 217.00 	 707.56 Kè 	27.03.2023	2023-03-28	1.44%
4078	1110.00	 85 302.00 	 1 269.40 Kè 	07.03.2023	2023-03-09	1.49%
4079	1062.00	 28 914.00 	 373.89 Kè 	17.03.2023	2023-03-20	1.29%
4080	1117.00	 37 861.00 	 434.83 Kè 	19.03.2023	2023-03-23	1.15%
4081	1099.00	 85 871.00 	 1 411.26 Kè 	28.03.2023	2023-03-30	1.64%
4082	1111.00	 10 826.00 	 182.17 Kè 	09.03.2023	2023-03-12	1.68%
4083	1056.00	 88 616.00 	 1 749.48 Kè 	28.03.2023	2023-03-31	1.97%
4084	1100.00	 45 494.00 	 579.09 Kè 	17.03.2023	2023-03-20	1.27%
4085	1063.00	 54 263.00 	 865.01 Kè 	09.03.2023	2023-03-10	1.59%
4086	1075.00	 28 869.00 	 523.50 Kè 	12.03.2023	2023-03-15	1.81%
4087	1055.00	 12 270.00 	 206.06 Kè 	15.03.2023	2023-03-16	1.68%
4088	1077.00	 91 098.00 	 967.55 Kè 	17.03.2023	2023-03-21	1.06%
4089	1192.00	 12 963.00 	 132.83 Kè 	16.03.2023	2023-03-20	1.02%
4090	1170.00	 30 289.00 	 518.37 Kè 	09.03.2023	2023-03-10	1.71%
4091	1115.00	 13 404.00 	 189.40 Kè 	10.03.2023	2023-03-11	1.41%
4092	1139.00	 15 952.00 	 279.65 Kè 	16.03.2023	2023-03-17	1.75%
4093	1055.00	 60 411.00 	 769.77 Kè 	18.03.2023	2023-03-19	1.27%
4094	1094.00	 1 589.00 	 31.01 Kè 	27.03.2023	2023-03-28	1.95%
4095	1059.00	 22 909.00 	 330.21 Kè 	04.03.2023	2023-03-06	1.44%
4096	1018.00	 39 355.00 	 568.68 Kè 	25.03.2023	2023-03-27	1.45%
4097	1094.00	 56 883.00 	 1 039.69 Kè 	14.03.2023	2023-03-18	1.83%
4098	1104.00	 57 645.00 	 985.19 Kè 	02.03.2023	2023-03-04	1.71%
4099	1067.00	 74 196.00 	 962.47 Kè 	26.03.2023	2023-03-27	1.30%
4100	1194.00	 24 826.00 	 248.33 Kè 	06.03.2023	2023-03-10	1.00%
4101	1036.00	 40 321.00 	 520.15 Kè 	05.03.2023	2023-03-08	1.29%
4102	1099.00	 37 222.00 	 534.46 Kè 	03.03.2023	2023-03-07	1.44%
4103	1172.00	 99 534.00 	 1 112.32 Kè 	16.03.2023	2023-03-20	1.12%
4104	1191.00	 31 480.00 	 575.57 Kè 	08.03.2023	2023-03-09	1.83%
4105	1095.00	 15 809.00 	 256.08 Kè 	28.03.2023	2023-03-29	1.62%
4106	1123.00	 82 727.00 	 931.60 Kè 	03.03.2023	2023-03-07	1.13%
4107	1055.00	 20 515.00 	 354.33 Kè 	09.03.2023	2023-03-11	1.73%
4108	1019.00	 95 297.00 	 1 111.41 Kè 	20.03.2023	2023-03-22	1.17%
4109	1037.00	 65 066.00 	 1 274.42 Kè 	18.03.2023	2023-03-21	1.96%
4110	1114.00	 18 468.00 	 215.05 Kè 	15.03.2023	2023-03-19	1.16%
4111	1001.00	 4 812.00 	 51.27 Kè 	12.03.2023	2023-03-14	1.07%
4112	1174.00	 64 005.00 	 1 098.75 Kè 	21.03.2023	2023-03-23	1.72%
4113	1157.00	 4 796.00 	 88.69 Kè 	28.03.2023	2023-04-01	1.85%
4114	1198.00	 57 174.00 	 929.77 Kè 	14.03.2023	2023-03-17	1.63%
4115	1135.00	 20 814.00 	 394.60 Kè 	23.03.2023	2023-03-27	1.90%
4116	1164.00	 71 733.00 	 971.91 Kè 	23.03.2023	2023-03-26	1.35%
4117	1179.00	 45 413.00 	 791.95 Kè 	16.03.2023	2023-03-17	1.74%
4118	1073.00	 55 940.00 	 758.97 Kè 	04.03.2023	2023-03-05	1.36%
4119	1113.00	 14 241.00 	 191.80 Kè 	17.03.2023	2023-03-21	1.35%
4120	1101.00	 99 460.00 	 1 042.27 Kè 	13.03.2023	2023-03-16	1.05%
4121	1051.00	 93 419.00 	 1 016.09 Kè 	16.03.2023	2023-03-20	1.09%
4122	1078.00	 36 074.00 	 711.25 Kè 	14.03.2023	2023-03-17	1.97%
4123	1107.00	 13 740.00 	 226.93 Kè 	01.03.2023	2023-03-04	1.65%
4124	1008.00	 81 642.00 	 1 537.57 Kè 	25.03.2023	2023-03-29	1.88%
4125	1119.00	 81 768.00 	 1 040.64 Kè 	21.03.2023	2023-03-24	1.27%
4126	1170.00	 29 096.00 	 465.14 Kè 	19.03.2023	2023-03-22	1.60%
4127	1029.00	 38 651.00 	 664.08 Kè 	22.03.2023	2023-03-24	1.72%
4128	1045.00	 30 183.00 	 354.03 Kè 	25.03.2023	2023-03-28	1.17%
4129	1185.00	 23 146.00 	 322.68 Kè 	20.03.2023	2023-03-22	1.39%
4130	1150.00	 78 393.00 	 1 370.50 Kè 	15.03.2023	2023-03-18	1.75%
4131	1069.00	 69 325.00 	 1 299.93 Kè 	13.03.2023	2023-03-14	1.88%
4132	1159.00	 99 393.00 	 1 598.79 Kè 	26.03.2023	2023-03-29	1.61%
4133	1156.00	 50 338.00 	 561.65 Kè 	18.03.2023	2023-03-21	1.12%
4134	1151.00	 5 766.00 	 65.24 Kè 	26.03.2023	2023-03-28	1.13%
4135	1025.00	 55 803.00 	 774.47 Kè 	25.03.2023	2023-03-29	1.39%
4136	1145.00	 55 687.00 	 672.64 Kè 	14.03.2023	2023-03-18	1.21%
4137	1181.00	 85 033.00 	 1 158.80 Kè 	18.03.2023	2023-03-19	1.36%
4138	1026.00	 51 693.00 	 995.51 Kè 	06.03.2023	2023-03-09	1.93%
4139	1167.00	 12 900.00 	 230.11 Kè 	17.03.2023	2023-03-21	1.78%
4140	1035.00	 45 559.00 	 725.46 Kè 	22.03.2023	2023-03-24	1.59%
4141	1150.00	 9 125.00 	 101.53 Kè 	27.03.2023	2023-03-30	1.11%
4142	1098.00	 95 451.00 	 1 754.15 Kè 	27.03.2023	2023-03-30	1.84%
4143	1001.00	 35 391.00 	 619.25 Kè 	18.03.2023	2023-03-22	1.75%
4144	1133.00	 35 189.00 	 390.41 Kè 	02.03.2023	2023-03-04	1.11%
4145	1099.00	 72 720.00 	 765.27 Kè 	15.03.2023	2023-03-19	1.05%
4146	1166.00	 54 288.00 	 843.31 Kè 	05.03.2023	2023-03-08	1.55%
4147	1176.00	 74 662.00 	 1 187.29 Kè 	18.03.2023	2023-03-19	1.59%
4148	1153.00	 95 815.00 	 1 299.30 Kè 	16.03.2023	2023-03-19	1.36%
4149	1138.00	 17 011.00 	 211.28 Kè 	01.03.2023	2023-03-05	1.24%
4150	1026.00	 84 509.00 	 914.69 Kè 	05.03.2023	2023-03-06	1.08%
4151	1113.00	 90 936.00 	 1 450.55 Kè 	14.03.2023	2023-03-15	1.60%
4152	1157.00	 7 863.00 	 128.89 Kè 	01.03.2023	2023-03-05	1.64%
4153	1070.00	 32 538.00 	 444.20 Kè 	17.03.2023	2023-03-18	1.37%
4154	1004.00	 19 543.00 	 294.42 Kè 	14.03.2023	2023-03-18	1.51%
4155	1080.00	 41 728.00 	 683.87 Kè 	16.03.2023	2023-03-20	1.64%
4156	1037.00	 56 718.00 	 914.73 Kè 	12.03.2023	2023-03-15	1.61%
4157	1094.00	 32 468.00 	 345.80 Kè 	11.03.2023	2023-03-13	1.07%
4158	1004.00	 74 189.00 	 939.77 Kè 	19.03.2023	2023-03-20	1.27%
4159	1063.00	 84 591.00 	 1 078.04 Kè 	18.03.2023	2023-03-19	1.27%
4160	1131.00	 97 787.00 	 1 802.22 Kè 	27.03.2023	2023-03-31	1.84%
4161	1144.00	 94 452.00 	 1 280.70 Kè 	05.03.2023	2023-03-06	1.36%
4162	1155.00	 94 756.00 	 1 452.06 Kè 	20.03.2023	2023-03-22	1.53%
4163	1159.00	 96 853.00 	 1 583.77 Kè 	08.03.2023	2023-03-09	1.64%
4164	1070.00	 53 769.00 	 774.20 Kè 	14.03.2023	2023-03-16	1.44%
4165	1049.00	 81 988.00 	 1 479.22 Kè 	05.03.2023	2023-03-09	1.80%
4166	1197.00	 77 034.00 	 1 442.65 Kè 	15.03.2023	2023-03-18	1.87%
4167	1179.00	 33 650.00 	 504.46 Kè 	03.03.2023	2023-03-05	1.50%
4168	1138.00	 4 948.00 	 49.58 Kè 	12.03.2023	2023-03-13	1.00%
4169	1103.00	 26 436.00 	 395.09 Kè 	26.03.2023	2023-03-30	1.49%
4170	1196.00	 35 302.00 	 374.89 Kè 	28.03.2023	2023-03-31	1.06%
4171	1143.00	 57 555.00 	 970.11 Kè 	05.03.2023	2023-03-09	1.69%
4172	1170.00	 18 520.00 	 227.93 Kè 	03.03.2023	2023-03-07	1.23%
4173	1170.00	 43 586.00 	 559.78 Kè 	02.03.2023	2023-03-03	1.28%
4174	1065.00	 23 016.00 	 366.48 Kè 	16.03.2023	2023-03-17	1.59%
4175	1190.00	 8 437.00 	 134.44 Kè 	02.03.2023	2023-03-05	1.59%
4176	1125.00	 62 278.00 	 918.29 Kè 	17.03.2023	2023-03-18	1.47%
4177	1008.00	 95 515.00 	 1 449.14 Kè 	17.03.2023	2023-03-21	1.52%
4178	1002.00	 4 772.00 	 89.25 Kè 	07.03.2023	2023-03-11	1.87%
4179	1137.00	 59 929.00 	 642.47 Kè 	24.03.2023	2023-03-25	1.07%
4180	1003.00	 53 420.00 	 542.84 Kè 	04.03.2023	2023-03-06	1.02%
4181	1170.00	 79 198.00 	 1 485.84 Kè 	20.03.2023	2023-03-22	1.88%
4182	1154.00	 43 675.00 	 836.33 Kè 	11.03.2023	2023-03-14	1.91%
4183	1175.00	 19 840.00 	 199.66 Kè 	10.03.2023	2023-03-13	1.01%
4184	1070.00	 10 920.00 	 188.80 Kè 	06.03.2023	2023-03-07	1.73%
4185	1157.00	 39 431.00 	 521.65 Kè 	09.03.2023	2023-03-12	1.32%
4186	1061.00	 41 228.00 	 768.99 Kè 	21.03.2023	2023-03-22	1.87%
4187	1126.00	 26 965.00 	 420.91 Kè 	22.03.2023	2023-03-23	1.56%
4188	1106.00	 49 762.00 	 796.72 Kè 	17.03.2023	2023-03-20	1.60%
4189	1046.00	 87 843.00 	 1 004.56 Kè 	08.03.2023	2023-03-11	1.14%
4190	1048.00	 9 479.00 	 114.72 Kè 	24.03.2023	2023-03-28	1.21%
4191	1092.00	 40 647.00 	 672.83 Kè 	22.03.2023	2023-03-26	1.66%
4192	1049.00	 99 515.00 	 1 356.85 Kè 	20.03.2023	2023-03-21	1.36%
4193	1097.00	 57 202.00 	 875.65 Kè 	16.03.2023	2023-03-18	1.53%
4194	1159.00	 55 246.00 	 974.69 Kè 	25.03.2023	2023-03-29	1.76%
4195	1112.00	 26 057.00 	 506.07 Kè 	14.03.2023	2023-03-16	1.94%
4196	1116.00	 1 184.00 	 21.14 Kè 	19.03.2023	2023-03-23	1.79%
4197	1130.00	 57 076.00 	 675.28 Kè 	28.03.2023	2023-03-29	1.18%
4198	1174.00	 47 919.00 	 612.25 Kè 	10.03.2023	2023-03-12	1.28%
4199	1016.00	 45 722.00 	 658.39 Kè 	11.03.2023	2023-03-12	1.44%
4200	1106.00	 90 111.00 	 1 350.50 Kè 	26.03.2023	2023-03-27	1.50%
4201	1087.00	 40 766.00 	 574.42 Kè 	11.03.2023	2023-03-14	1.41%
4202	1119.00	 72 472.00 	 1 007.54 Kè 	19.03.2023	2023-03-22	1.39%
4203	1058.00	 18 000.00 	 197.41 Kè 	23.03.2023	2023-03-27	1.10%
4204	1066.00	 33 598.00 	 522.01 Kè 	11.03.2023	2023-03-13	1.55%
4205	1148.00	 84 541.00 	 1 642.02 Kè 	13.03.2023	2023-03-17	1.94%
4206	1194.00	 65 212.00 	 1 246.87 Kè 	20.03.2023	2023-03-21	1.91%
4207	1196.00	 33 230.00 	 655.52 Kè 	03.03.2023	2023-03-05	1.97%
4208	1155.00	 26 057.00 	 301.83 Kè 	14.03.2023	2023-03-18	1.16%
4209	1138.00	 54 169.00 	 738.98 Kè 	12.03.2023	2023-03-16	1.36%
4210	1079.00	 17 169.00 	 332.87 Kè 	15.03.2023	2023-03-18	1.94%
4211	1010.00	 92 628.00 	 1 226.53 Kè 	25.03.2023	2023-03-29	1.32%
4212	1098.00	 25 011.00 	 338.57 Kè 	11.03.2023	2023-03-13	1.35%
4213	1048.00	 12 063.00 	 161.23 Kè 	01.03.2023	2023-03-04	1.34%
4214	1145.00	 59 474.00 	 1 123.78 Kè 	17.03.2023	2023-03-19	1.89%
4215	1059.00	 26 730.00 	 470.79 Kè 	14.03.2023	2023-03-17	1.76%
4216	1162.00	 44 911.00 	 476.40 Kè 	04.03.2023	2023-03-08	1.06%
4217	1179.00	 81 655.00 	 851.90 Kè 	22.03.2023	2023-03-24	1.04%
4218	1072.00	 32 298.00 	 411.32 Kè 	16.03.2023	2023-03-18	1.27%
4219	1022.00	 47 354.00 	 879.10 Kè 	18.03.2023	2023-03-19	1.86%
4220	1105.00	 92 492.00 	 1 653.97 Kè 	26.03.2023	2023-03-30	1.79%
4221	1069.00	 50 212.00 	 609.96 Kè 	23.03.2023	2023-03-24	1.21%
4222	1078.00	 98 474.00 	 1 051.47 Kè 	23.03.2023	2023-03-27	1.07%
4223	1065.00	 29 593.00 	 480.29 Kè 	07.03.2023	2023-03-10	1.62%
4224	1136.00	 53 494.00 	 622.52 Kè 	25.03.2023	2023-03-27	1.16%
4225	1177.00	 77 513.00 	 1 196.57 Kè 	21.03.2023	2023-03-25	1.54%
4226	1012.00	 48 760.00 	 867.95 Kè 	02.03.2023	2023-03-04	1.78%
4227	1096.00	 72 061.00 	 1 097.46 Kè 	15.03.2023	2023-03-19	1.52%
4228	1094.00	 54 294.00 	 1 079.91 Kè 	01.03.2023	2023-03-05	1.99%
4229	1132.00	 47 127.00 	 760.18 Kè 	22.03.2023	2023-03-26	1.61%
4230	1117.00	 50 473.00 	 538.22 Kè 	05.03.2023	2023-03-06	1.07%
4231	1049.00	 86 849.00 	 1 414.89 Kè 	24.03.2023	2023-03-28	1.63%
4232	1100.00	 83 224.00 	 1 599.03 Kè 	12.03.2023	2023-03-14	1.92%
4233	1131.00	 77 117.00 	 1 256.67 Kè 	14.03.2023	2023-03-18	1.63%
4234	1154.00	 71 148.00 	 1 043.35 Kè 	09.03.2023	2023-03-11	1.47%
4235	1109.00	 16 721.00 	 223.04 Kè 	12.03.2023	2023-03-15	1.33%
4236	1016.00	 91 977.00 	 1 104.08 Kè 	14.03.2023	2023-03-16	1.20%
4237	1120.00	 25 563.00 	 468.52 Kè 	12.03.2023	2023-03-15	1.83%
4238	1170.00	 76 737.00 	 788.59 Kè 	15.03.2023	2023-03-16	1.03%
4239	1018.00	 46 008.00 	 578.12 Kè 	27.03.2023	2023-03-28	1.26%
4240	1045.00	 7 793.00 	 90.07 Kè 	10.03.2023	2023-03-14	1.16%
4241	1183.00	 7 602.00 	 122.53 Kè 	09.03.2023	2023-03-10	1.61%
4242	1113.00	 5 172.00 	 89.03 Kè 	22.03.2023	2023-03-24	1.72%
4243	1046.00	 21 954.00 	 234.13 Kè 	04.03.2023	2023-03-07	1.07%
4244	1134.00	 95 888.00 	 1 325.69 Kè 	07.03.2023	2023-03-10	1.38%
4245	1073.00	 92 463.00 	 1 716.49 Kè 	17.03.2023	2023-03-19	1.86%
4246	1021.00	 71 234.00 	 800.66 Kè 	17.03.2023	2023-03-21	1.12%
4247	1135.00	 18 967.00 	 233.60 Kè 	21.03.2023	2023-03-22	1.23%
4248	1087.00	 33 659.00 	 355.80 Kè 	22.03.2023	2023-03-25	1.06%
4249	1014.00	 18 809.00 	 259.13 Kè 	01.03.2023	2023-03-05	1.38%
4250	1122.00	 47 428.00 	 939.50 Kè 	24.03.2023	2023-03-25	1.98%
4251	1199.00	 57 831.00 	 1 038.06 Kè 	14.03.2023	2023-03-18	1.79%
4252	1105.00	 34 577.00 	 625.90 Kè 	10.03.2023	2023-03-12	1.81%
4253	1052.00	 36 750.00 	 508.59 Kè 	08.03.2023	2023-03-11	1.38%
4254	1197.00	 84 088.00 	 1 602.20 Kè 	12.03.2023	2023-03-16	1.91%
4255	1144.00	 49 458.00 	 514.74 Kè 	25.03.2023	2023-03-26	1.04%
4256	1172.00	 16 686.00 	 185.34 Kè 	26.03.2023	2023-03-27	1.11%
4257	1171.00	 93 615.00 	 1 565.79 Kè 	11.03.2023	2023-03-12	1.67%
4258	1068.00	 57 890.00 	 593.45 Kè 	20.03.2023	2023-03-22	1.03%
4259	1033.00	 63 318.00 	 1 064.30 Kè 	21.03.2023	2023-03-24	1.68%
4260	1045.00	 99 767.00 	 1 562.71 Kè 	16.03.2023	2023-03-17	1.57%
4261	1031.00	 8 943.00 	 110.73 Kè 	24.03.2023	2023-03-27	1.24%
4262	1108.00	 54 043.00 	 822.75 Kè 	11.03.2023	2023-03-15	1.52%
4263	1105.00	 77 735.00 	 1 400.28 Kè 	05.03.2023	2023-03-06	1.80%
4264	1145.00	 96 101.00 	 1 694.28 Kè 	27.03.2023	2023-03-29	1.76%
4265	1057.00	 82 497.00 	 1 481.32 Kè 	10.03.2023	2023-03-12	1.80%
4266	1196.00	 85 311.00 	 1 289.41 Kè 	22.03.2023	2023-03-23	1.51%
4267	1190.00	 96 270.00 	 1 300.77 Kè 	15.03.2023	2023-03-18	1.35%
4268	1058.00	 20 716.00 	 219.29 Kè 	24.03.2023	2023-03-27	1.06%
4269	1129.00	 8 560.00 	 143.14 Kè 	24.03.2023	2023-03-28	1.67%
4270	1174.00	 91 956.00 	 1 466.76 Kè 	12.03.2023	2023-03-14	1.60%
4271	1034.00	 19 076.00 	 332.82 Kè 	14.03.2023	2023-03-15	1.74%
4272	1199.00	 66 056.00 	 1 066.35 Kè 	16.03.2023	2023-03-17	1.61%
4273	1125.00	 99 050.00 	 1 261.37 Kè 	21.03.2023	2023-03-25	1.27%
4274	1084.00	 95 637.00 	 1 378.04 Kè 	20.03.2023	2023-03-21	1.44%
4275	1091.00	 7 104.00 	 115.42 Kè 	16.03.2023	2023-03-19	1.62%
4276	1027.00	 2 938.00 	 46.18 Kè 	04.03.2023	2023-03-08	1.57%
4277	1181.00	 48 383.00 	 964.71 Kè 	09.03.2023	2023-03-12	1.99%
4278	1110.00	 79 552.00 	 1 239.36 Kè 	28.03.2023	2023-04-01	1.56%
4279	1062.00	 42 806.00 	 569.48 Kè 	02.03.2023	2023-03-04	1.33%
4280	1117.00	 66 911.00 	 763.16 Kè 	25.03.2023	2023-03-26	1.14%
4281	1099.00	 27 545.00 	 298.23 Kè 	28.03.2023	2023-04-01	1.08%
4282	1111.00	 39 881.00 	 421.11 Kè 	13.03.2023	2023-03-14	1.06%
4283	1056.00	 12 590.00 	 165.70 Kè 	11.03.2023	2023-03-14	1.32%
4284	1100.00	 85 565.00 	 980.30 Kè 	12.03.2023	2023-03-13	1.15%
4285	1063.00	 59 974.00 	 944.06 Kè 	25.03.2023	2023-03-27	1.57%
4286	1075.00	 25 871.00 	 494.54 Kè 	05.03.2023	2023-03-06	1.91%
4287	1055.00	 16 965.00 	 236.96 Kè 	27.03.2023	2023-03-29	1.40%
4288	1077.00	 1 859.00 	 30.43 Kè 	18.03.2023	2023-03-21	1.64%
4289	1192.00	 57 887.00 	 608.35 Kè 	03.03.2023	2023-03-04	1.05%
4290	1170.00	 78 439.00 	 1 306.81 Kè 	14.03.2023	2023-03-17	1.67%
4291	1115.00	 54 543.00 	 1 067.58 Kè 	28.03.2023	2023-03-29	1.96%
4292	1139.00	 98 241.00 	 1 559.61 Kè 	15.03.2023	2023-03-19	1.59%
4293	1055.00	 83 250.00 	 1 572.73 Kè 	25.03.2023	2023-03-28	1.89%
4294	1094.00	 9 969.00 	 161.97 Kè 	25.03.2023	2023-03-26	1.62%
4295	1059.00	 55 333.00 	 962.10 Kè 	03.03.2023	2023-03-04	1.74%
4296	1018.00	 51 544.00 	 800.11 Kè 	02.03.2023	2023-03-06	1.55%
4297	1094.00	 88 860.00 	 1 345.70 Kè 	08.03.2023	2023-03-12	1.51%
4298	1104.00	 23 808.00 	 325.16 Kè 	09.03.2023	2023-03-11	1.37%
4299	1067.00	 58 380.00 	 861.27 Kè 	22.03.2023	2023-03-24	1.48%
4300	1194.00	 46 456.00 	 789.24 Kè 	08.03.2023	2023-03-10	1.70%
4301	1036.00	 21 149.00 	 414.06 Kè 	03.03.2023	2023-03-05	1.96%
4302	1099.00	 58 293.00 	 725.64 Kè 	11.03.2023	2023-03-15	1.24%
4303	1172.00	 28 996.00 	 356.77 Kè 	07.03.2023	2023-03-09	1.23%
4304	1191.00	 47 553.00 	 669.81 Kè 	15.03.2023	2023-03-16	1.41%
4305	1095.00	 35 573.00 	 453.30 Kè 	16.03.2023	2023-03-19	1.27%
4306	1123.00	 6 006.00 	 77.92 Kè 	20.03.2023	2023-03-22	1.30%
